full_text,normalized,label,label_manual
Masalahnya pelakunya ini serial pinjol. Dalam 5 tahun udah 3 kali kejadian dengan nominal gede banget (up to 3 digits). 1. Pertama udah ngaku jadiin kita kondar. Kita maafin tapi akhirnya kita cut contact. 2. Kedua kita pilih cuek dan blokir semua DC. 3. Sekarang kejadian,masalahnya pelakunya ini serial pinjaman online dalam tahun sudah kali kejadian dengan nominal gede sangat up to digits pertama sudah ngaku jadiin kita kondar kita maafin tapi akhirnya kita cut contact kedua kita pilih cuek dan blokir semua debt collector sekarang kejadian,negatif,positif
@twuicei Terdesak ekonomi apa terdesak pinjaman online atau jod*l ??,terdesak ekonomi apa terdesak pinjaman online atau jodl,positif,positif
Kalau lagi butuh dana mendesak biasanya langsung kepikiran buat pinjam ya? Tapi sebenarnya pinjaman juga ada waktu yang tepat lho Kawan! Kapan sih waktu yang pas supaya pengajuan lebih nyaman dan peluang disetujui lebih besar? Yuk simak postingan ini sampai habis! https://t.co/r2WVqktQgX,kalau lagi butuh dana mendesak biasanya langsung kepikiran untuk pinjam ya tapi sebenarnya pinjaman juga ada waktu yang tepat lho kawan kapan waktu yang pas supaya pengajuan lebih nyaman dan peluang disetujui lebih besar yuk simak postingan ini sampai habis,positif,positif
Malam guys yg kejebak pinjol atau butuh pinpri nom besar aku avail ya! chat on dm sebutin nominal dan kebutuhannya. ‼️ gak nerima COWO PENGANGGURAN AKUN KOSONGAN ‼️#pinpri #zonauang,malam guys yang kejebak pinjaman online atau butuh pinjaman pribadi nom besar saya avail ya chat on dm sebutin nominal dan kebutuhannya tidak nerima cowo pengangguran akun kosongan,positif,positif
@zalkad Duit pinjol ini kayaknya masuk ke luar negeri ya?,duit pinjaman online ini kayaknya masuk ke luar negeri ya,positif,positif
@jaiiibruv untuk rekening bank kalo ga salah ada website yang kita bisa cek rekening itu penipu apa ngga nanti korban juga bisa upload rekeningnya disitu. kalo no. wa sih yg riskan tp kalo dibarengi bukti² penipuannya harusnya ga masalah ga si??,untuk rekening bank kalau tidak salah ada website yang kita dapat cek rekening itu penipu apa ngga nanti korban juga dapat upload rekeningnya disitu kalau no wa yang riskan tapi kalau dibarengi bukti penipuannya harusnya tidak masalah tidak si,negatif,negatif
@heijikmund @noirfiore @notwilona korban ya kali kasus kamera di ruang ganti gw nyalahin korban ya kali di kasus penipuan pernikahan yang pelakunya cewe dan korbannya cewe gw nyalahin si korban,korban ya kali kasus kamera di ruang ganti saya nyalahin korban ya kali di kasus penipuan pernikahan yang pelakunya cewe dan korbannya cewe saya nyalahin si korban,negatif,negatif
@PorosHalangID Dia emang masih status pinjaman ya?,dia memang masih status pinjaman ya,positif,positif
enaknya nagih utang yang udah 2 tahun lebih ga bayar gimana ya? nominalnya lumayan 2 digit.,enaknya nagih utang yang sudah tahun lebih tidak bayar bagaimana ya nominalnya lumayan digit,negatif,negatif
Yung mga mukha nila pwede nyo ng ipang-bayad sa utang ng Pilipinas https://t.co/cdESDXLvSp,yung mga mukha nila pwede nyo ng ipangbayad sa utang ng pilipinas,negatif,negatif
@PanduJaPa @OniDewono @aldotjahjadi8 Jika banyak yang gagal bayar (NPL tinggi) negara lewat APBN yang tanggung beban utama: - Jamkrindo/LPS harus bayar klaim jaminan pinjaman. - Subsidi bunga tetap jalan meski kredit macet. - Bisa butuh suntikan modal tambahan ke BRI/BNI/Mandiri. Akibatnya: defisit APBN,jika banyak yang gagal bayar npl tinggi negara lewat apbn yang tanggung beban utama jamkrindolps harus bayar klaim jaminan pinjaman subsidi bunga pinjaman tetap jalan meski kredit macet dapat butuh suntikan modal tambahan ke bribnimandiri akibatnya defisit apbn,negatif,positif
Pa maaf kami tdk bs terima pengajuan pinjaman Bp lagi. Krn bp sdh 2x meminjam tapi bp melunasinya sebelum jatuh tempo Lah bukannya bagus melunasi paylater sebelum jatuh tempo Dasar pinjol keknya seneng liat orang susah ,pa maaf kami tdk bs terima pengajuan pinjaman bp lagi karena bp sdh x meminjam tapi bp melunasinya sebelum jatuh tempo lah bukannya bagus melunasi bayar nanti sebelum jatuh tempo dasar pinjaman online keknya seneng melihat orang susah,negatif,positif
Jirlah..iklannya pinjol muluuu pdhl dah pake vpn. Mana lama bener..emosi jiwaahhhh https://t.co/9XZXZ3ygg7,jirlahiklannya pinjaman online muluuu pdhl dah menggunakan vpn mana lama beneremosi jiwaahhhh,positif,positif
@rerefasola Kayaknya dari dulu juga banyak tapi gak terlapor apalagi kalau korbannya anak-anak mungkin belum terlalu ngeh kejadian yg menimpa dia tuh kekerasan seksual atau mungkin kalau korban diancam jadi takut cerita ke siapapun. ,kayaknya dari dulu juga banyak tapi tidak terlapor apalagi kalau korbannya anakanak mungkin belum terlalu ngeh kejadian yang menimpa dia itu kekerasan seksual atau mungkin kalau korban diancam jadi takut cerita ke siapapun,negatif,negatif
Kata mereka! Kemiskinan turun Pengangguranturun Pertumbuhan ekonominaik Nilai tukar rupiah5000an Utang NegaraNaik Harga-hargaStabil KesehatanGratis PendidikanGratis Korupsimeningkat. RakyatSejahtera Sayang itu dipidato² saja. https://t.co/QLcePdwZ9w,kata mereka kemiskinan turun pengangguranturun pertumbuhan ekonominaik nilai tukar rupiahan utang negaranaik hargahargastabil kesehatangratis pendidikangratis korupsimeningkat rakyatsejahtera sayang itu dipidato saja,negatif,negatif
@dk_itu_dokyeom @christianvctrs Obligasi adalah surat utang yang diterbitkan oleh pemerintah perusahaan atau lembaga lainnya untuk meminjam uang dari investor. Dengan kata lain ketika kamu membeli obligasi kamu sedang meminjamkan uang kepada penerbit obligasi tersebut.,obligasi adalah surat utang yang diterbitkan oleh pemerintah perusahaan atau lembaga lainnya untuk meminjam uang dari investor dengan kata lain ketika kamu membeli obligasi kamu sedang meminjamkan uang kepada penerbit obligasi tersebut,negatif,negatif
MANILA UTANG NA LOOB,manila utang na loob,negatif,negatif
@belongstoelle 1. Fokus pada pelaku jadi butuh namanya edukasi consent sejak dini 2. Perbaikan lingkungan sama sistem hukum yg masih lemah 3. Penguatan Budaya Sosial(biar stigmanya fokus ke pelaku bukan korban) 4. Empowerment korban(tdk menyalahkan tpi investigasi) sekian dari aku...,fokus pada pelaku jadi butuh namanya edukasi consent sejak dini perbaikan lingkungan sama sistem hukum yang masih lemah penguatan budaya sosialbiar stigmanya fokus ke pelaku bukan korban empowerment korbantdk menyalahkan tpi investigasi sekian dari saya,negatif,positif
Nggak perlu khawatir data menunjukkan Indonesia tetap disiplin kelola rasio utang #CeliosPenikmatDanaSoros https://t.co/MUBrnlB7NJ,tidak perlu khawatir data menunjukkan indonesia tetap disiplin kelola rasio utang,negatif,negatif
@sebatasnafas @rojekult @momwholifts Mau itu keluarga sendiri gue ga perduli karna mau sampe kapanpun bundir itu tidak di perbolehkan di normalisasi lu liat kasus yang terjun di jembatan tau masalahnya apa cinta uang di kampung gue gantung diri tau masalahnya apa judol pinjol tau yang bikin ribet siapa.,ingin itu keluarga sendiri saya tidak perduli karna ingin sampe kapanpun bundir itu tidak di perbolehkan di normalisasi kamu melihat kasus yang terjun di jembatan tau masalahnya apa cinta uang di kampung saya gantung diri tau masalahnya apa judi online pinjaman online tau yang bikin ribet siapa,positif,positif
@grok Kalau pinjaman mara? @grok,kalau pinjaman mara,positif,positif
@soberninna Jadi galbay ga kak? Aman ga?,jadi gagal bayar tidak kak aman tidak,negatif,positif
the problem - dia pinjol - dia meng eksploitasi gue (dengan cara nyuruh gue live gak senonoh dan menggoda cowo supaya nyawer or gift) - dia beli motor zx secara cash pake hasil jerih payah gue - dia jual motor nya tanpa sepengetahuan gue dan dia lunasin pinjol dia duluan,the problem dia pinjaman online dia meng eksploitasi saya dengan cara nyuruh saya live tidak senonoh dan menggoda cowo supaya nyawer or gift dia beli motor zx secara cash menggunakan hasil jerih payah saya dia jual motor nya tanpa sepengetahuan saya dan dia lunasin pinjaman online dia duluan,positif,positif
@AelixA15052 Hai Sobat BRI tidak perlu khawatir kami sampaikan untuk autodebet akan disesuaikan pada tanggal jatuh tempo yang ditentukan saat akad kredit. Dapat disampaikan jenis pinjaman yang dimiliki melalui DM. Dapatkan informasi terbaru seputar layanan dan promo BRI dengan,hai sobat bri tidak perlu khawatir kami sampaikan untuk autodebet akan disesuaikan pada tanggal jatuh tempo yang ditentukan saat akad kredit dapat disampaikan jenis pinjaman yang dimiliki melalui dm dapatkan informasi terbaru seputar layanan dan promo bri dengan,positif,positif
@KangManto123 Utang jatuh tempo 833 trilyun bayar tuh,utang jatuh tempo trilyun bayar itu,negatif,negatif
@nael_idrx beda . walaupun pinjaman crypto udah live di Indonesia pasti pinjol bakal tetep gede angkanya. kenapa banyak yg pinjol kan krn gak perlu jaminan apa apa selain ktp.,beda walaupun pinjaman crypto sudah live di indonesia pasti pinjaman online bakal tetep gede angkanya kenapa banyak yang pinjaman online kan karena tidak perlu jaminan apa apa selain ktp,positif,positif
Apa? Klik-klik je dapat PT Points Ha Meh sini Min bagitahu dengan kempen myPTPTN Klik Klik Do It! setiap transaksi bayaran balik pinjaman PTPTN melalui myPTPTN minimum RM1 000 dalam satu resit dapat kumpul PT Points tau. Setiap RM1 000 = 500 PT Points Apa boleh buat https://t.co/pD6FVIn1jm,apa klikklik je dapat pt points ha meh sini min bagitahu dengan kempen myptptn klik klik do it setiap transaksi bayaran balik pinjaman ptptn melalui myptptn minimum rm dalam satu resit dapat kumpul pt points tau setiap rm pt points apa boleh untuk,positif,positif
Member seventeen ternyata masih pinjam-pinjaman barang ,member seventeen ternyata masih pinjampinjaman barang,positif,positif
@rshinyu @247ToUs eh tolong ya elu kamu aja masih utang peje,eh tolong ya elu kamu saja masih utang peje,negatif,negatif
@mrtweepsID Gak perna kepikiran untuk pakai pinjol lebih banyak cerita negatifnya ketimbang positif.,tidak perna kepikiran untuk pakai pinjaman online lebih banyak cerita negatifnya ketimbang positif,positif,positif
@_jacobson91 @Mar33Cj Hilaf berulang sampai 50 korban itu sesat pikir. Itu perbiatan bejat tak bertuhan bahkan seperti binatang di hutan kelakuannya. Kiai binatang namanya.,hilaf berulang sampai korban itu sesat pikir itu perbiatan bejat tak bertuhan bahkan seperti binatang di hutan kelakuannya kiai binatang namanya,negatif,positif
@liabilitree Kontrol nafsu belanja belanja yg wajar jangan sampe pinjol berbunga tinggi,kontrol nafsu belanja belanja yang wajar jangan sampe pinjaman online berbunga tinggi,negatif,positif
Duh jangan nembung utang ke aku aku we mumet ngecakke duitku ,duh jangan nembung utang ke saya saya we mumet ngecakke duitku,negatif,negatif
Selama ini gue gapernah blokir mantan gue cuma satusatunya mantan gue yg gue blokir cuma angga dan itu jg karena lo tololbgt anjir main pinjol tp gabisa tanggung jawab. Giliran udah numpuk lo mohon2 minta bantu. Minta bantuan gasi harusnya ke selingkuhannya,selama ini saya gapernah blokir mantan saya cuma satusatunya mantan saya yang saya blokir cuma angga dan itu juga karena kamu tololbgt anjir main pinjaman online tapi gabisa tanggung jawab giliran sudah numpuk kamu mohon meminta bantu meminta bantuan gasi harusnya ke selingkuhannya,positif,positif
@rxzkammr_ @GadingInsomnia Pengajuan pinjaman iki mesti,pengajuan pinjaman iki mesti,positif,positif
Desi korupsi buat bayarin utang² Farhan CATATAN INVESTIGASI SENA #TerikatJanjiEp32,desi korupsi untuk bayarin utang farhan catatan investigasi sena,negatif,negatif
Batas waktu 1 Juli: Beberapa rencana pembayaran pinjaman mahasiswa mungkin dihapus memengaruhi jutaan peminjam di AS. Tekanan finansial yang meningkat dapat mengurangi belanja konsumen berdampak negatif pada pasar saham dan ekonomi makro. Apakah kebijakan ini akan memicu re ,batas waktu juli beberapa rencana pembayaran pinjaman mahasiswa mungkin dihapus memengaruhi jutaan peminjam di as tekanan finansial yang meningkat dapat mengurangi belanja konsumen berdampak negatif pada pasar saham dan ekonomi makro apakah kebijakan ini akan memicu re,positif,positif
@tanyarlfes berapapun boleh asal jangan ngutang atau pinjol atau paylater lah.. pake CC boleh tapi expense jangan lebih banyak dari income yah,berapapun boleh asal jangan ngutang atau pinjaman online atau bayar nanti lah menggunakan cc boleh tapi expense jangan lebih banyak dari income yah,negatif,negatif
@GheaJhanaLie7 Yg ini ya..? Pembohongan Publik Barbuk pinjaman Koleksi Orang dikasus KM50..? https://t.co/YvvuQNhhit,yang ini ya pembohongan publik barbuk pinjaman koleksi orang dikasus km,positif,positif
Yg jelas rupiah anjlok tajam berpotensi menimbulkan ketakpastian artinya tak ada dampak positifnya dari pertumbuhan. Ini malah akan berisiko buruk dlm waktu dekat. Beban utang meroket biaya impor membengkak akibat inflasi akan menggerus daya beli kelas menengah ke bawah..,yang jelas rupiah anjlok tajam berpotensi menimbulkan ketakpastian artinya tak ada dampak positifnya dari pertumbuhan ini malah akan berisiko buruk dlm waktu dekat beban utang meroket biaya impor membengkak akibat inflasi akan menggerus daya beli kelas menengah ke bawah,negatif,negatif
@Hidupsebagai62 Lah ojk aja sibuk soft selling pinjol ,lah otoritas jasa keuangan saja sibuk soft selling pinjaman online,positif,positif
malaamm kamu banyak cicilan spaylatter spinjam kredivo tapi belum jatuh tempo sini aku bantu joki pinjol dari pada galob tulob terus jangan nunggu tagihannya telat nanti malah di tolak fee aku di akhirr #jokipinjol #gestun #pinjol #gestun #pinpri https://t.co/eXOIvUse3J,malaamm kamu banyak cicilan spaylatter spinjam kredivo tapi belum jatuh tempo sini saya bantu joki pinjaman online dari pada galob tulob terus jangan nunggu tagihannya telat nanti malah di tolak fee saya di akhirr,negatif,positif
@AnakLolina2 Seperti yang bang august posting sehari2 ekonomi kita kurang baik. Sehingga banyak yang pakai pinjol. Alhamdulillah bang august sptnya tidak pakai pinjol/paylater. Pertahankan bang,seperti yang bang august posting sehari ekonomi kita kurang baik sehingga banyak yang pakai pinjaman online alhamdulillah bang august sptnya tidak pakai pinjolpaylater pertahankan bang,positif,positif
gue gak bilang bahwa nilai dollar naik itu tdk penting tp gak perlu buat narasi krisis 98 jilid 2. jgn menilai krisis ekonomi dr kurs dan utang negara doan.g GDP PMI Retail Sales gak diukur?,saya tidak mengatakan bahwa nilai dollar naik itu tdk penting tapi tidak perlu untuk narasi krisis jilid jgn menilai krisis ekonomi dari kurs dan utang negara saja gdp pmi retail sales tidak diukur,negatif,negatif
@rudysirwi Masih cari pinjaman kk. Buat bayar arisan nya https://t.co/pdFYdqm44H,masih cari pinjaman kk untuk bayar arisan nya,positif,positif
gw gamau mama gw buta masih banyak bgtbgtbgt hal indah di dunia ini yg musti dia lihat dia harus bisa umroh gw harus bisa liat dia umroh atau as simple as masak dengan hepi di rumah. jadi kayanya gw bakal ambil pinjol aja dan ngajuin operasi mama gw.,saya gamau mama saya buta masih banyak bgtbgtbgt hal indah di dunia ini yang musti dia lihat dia harus dapat umroh saya harus dapat melihat dia umroh atau as simple as masak dengan hepi di rumah jadi kayanya saya bakal ambil pinjaman online saja dan ngajuin operasi mama saya,positif,positif
punya banyak utang gini mumet bgt dah mna ada pinjol jgaaa definisi bikin hidup ribet sendiri tolong pencerahannya plss dah ngga ada masukan masalahnya,punya banyak utang gini mumet banget dah mna ada pinjaman online jgaaa definisi bikin hidup ribet sendiri tolong pencerahannya plss dah ngga ada masukan masalahnya,negatif,negatif
@tanyakanrl kalau beneran tumbuh sih angka debitur pinjol gak naik nyatanya angka debitur YoY naik 26% dan angka kredit macet juga mengalami kenaikan,kalau benar benar tumbuh angka debitur pinjaman online tidak naik nyatanya angka debitur yoy naik dan angka kredit macet juga mengalami kenaikan,positif,positif
@xpeacessea bcs i have utang wkwkwk,bcs i have utang tertawa,negatif,negatif
